Product URL,Title,Image URL,MPN,Breadcrumb,Specs
https://www.grainger.com/product/GROTE-Oval-Lamp-Mounting-Bracket-2CVN8,GROTE Oval Lamp Mounting Bracket: 8 1/4 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/2CVN8_AS01?$adapimg$&hei=536&wid=536,43362,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Steel', 'Finish': 'Black', 'Depth (In.)': '1-3/4 in', 'Length (In.)': '8-1/4 in', 'Width (In.)': '4-1/16 in', 'UNSPSC': '25172601', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/MAXXIMA-Magnetic-Mounting-8-in-Lg-49CT74,MAXXIMA Magnetic Mounting: 8 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/49CT74_AS01?$adapimg$&hei=536&wid=536,MPWL-MAG30,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'MAXXIMA', 'Type': 'Mounting Kit', 'Finish': 'Black', 'Depth (In.)': '1-1/2 in', 'Length (In.)': '8 in', 'Width (In.)': '8 in', 'Function': 'Allows Maxxima MPWL-30 to Be Magnet Mounted', 'UNSPSC': '31162506', 'Country of Origin': 'China'}"
https://www.grainger.com/product/GROTE-Bracket-8-in-Lg-In-5UVZ8,GROTE Bracket: 8 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/5UVZ8_AS01?$adapimg$&hei=536&wid=536,93982,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Finish': 'Black', 'Length (In.)': '8 in', 'Width (In.)': '8 in', 'Function': 'Mounting for 7 in Lamps', 'UNSPSC': '31162502', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Surface-Mount-7-29-32-in-Lg-11W442,GROTE Surface Mount: 7 29/32 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/11W442_AS01?$adapimg$&hei=536&wid=536,42153,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Snap- In', 'Finish': 'Chrome', 'Depth (In.)': '13/16 in', 'Length (In.)': '7-29/32 in', 'Width (In.)': '3-11/16 in', 'Provides': 'Suface Mount Application', 'Function': 'Mounting', 'UNSPSC': '25173001', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Surface-Mount-7-29-32-in-Lg-11W441,GROTE Surface Mount: 7 29/32 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/11W441_AS01?$adapimg$&hei=536&wid=536,42152,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Snap- In', 'Finish': 'Black', 'Depth (In.)': '13/16 in', 'Length (In.)': '7-29/32 in', 'Width (In.)': '3-11/16 in', 'Provides': 'Suface Mount Application', 'Function': 'Mounting', 'UNSPSC': '25173001', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Bracket-2VNG9,"GROTE Bracket, ABS: 7 27/32 in Lg (In.)",https://static.grainger.com/rp/s/is/image/Grainger/2VNG9_AS01?$adapimg$&hei=536&wid=536,43223,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Stop Tail Turn', 'Finish': 'Chrome', 'Depth (In.)': '27/32 in', 'Length (In.)': '7-27/32 in', 'Width (In.)': '3-5/8 in', 'UNSPSC': '25172901', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Permit-Holder-2VNH5,"GROTE Permit Holder, Aluminum: 7 1/4 in Lg (In.)",https://static.grainger.com/rp/s/is/image/Grainger/2VNH5_AS01?$adapimg$&hei=536&wid=536,43424,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Document', 'Finish': 'Aluminum', 'Length (In.)': '7-1/4 in', 'Width (In.)': '4-7/8 in', 'Includes': 'Vinyl Pouch', 'UNSPSC': '25172901', 'Country of Origin': 'China'}"
https://www.grainger.com/product/GROTE-Flange-2VNJ3,"GROTE Flange, Stainless Steel: 7 1/4 in Lg (In.)",https://static.grainger.com/rp/s/is/image/Grainger/2VNJ3_AS01?$adapimg$&hei=536&wid=536,43723,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Stop Tail Turn', 'Finish': 'Chrome', 'Depth (In.)': '27/32 in', 'Length (In.)': '7-1/4 in', 'Width (In.)': '3-5/8 in', 'UNSPSC': '25172901', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Corner-Mounting-Bracket-6-2CVN5,GROTE Corner Mounting Bracket: 6 3/16 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/2CVN5_AS01?$adapimg$&hei=536&wid=536,43050,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Trailer Mount', 'Finish': 'Gray', 'Depth (In.)': '1/4 in', 'Length (In.)': '6-3/16 in', 'Width (In.)': '2-1/8 in', 'Includes': 'Pigtail', 'UNSPSC': '25172601', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/PS-DOORS-Mounting-Bracket-6-in-Lg-In-39L637,PS DOORS Mounting Bracket: 6 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/39L637_AS01?$adapimg$&hei=536&wid=536,LSG-LP-2204 PCY,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'PS DOORS', 'Finish': 'Powder Coated Safety Yellow', 'Depth (In.)': '2-3/4 in', 'Length (In.)': '6 in', 'Width (In.)': '4-1/2 in', 'Connects': 'Gate to Large Pipe 2 to 4 in dia', 'Provides': 'Optional No-Drill Mounting of Gates to Mounting Surface', 'Function': 'Mounting', 'Includes': 'Adapter Bracket; Bolts; Installation Instructions', 'UNSPSC': '31162502', 'Country of Origin': 'USA'}"
https://www.grainger.com/product/PS-DOORS-Mounting-Bracket-6-in-Lg-In-39L651,PS DOORS Mounting Bracket: 6 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/39L651_AS01?$adapimg$&hei=536&wid=536,LSG-LP-2204 GAL,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'PS DOORS', 'Finish': 'Hot-Dipped Galvanzied', 'Depth (In.)': '2-3/4 in', 'Length (In.)': '6 in', 'Width (In.)': '4-1/2 in', 'Connects': 'Gate to Large Pipe 2 in to 4 in dia', 'Provides': 'Optional No-Drill Mounting of Gates to Mounting Surface', 'Function': 'Mounting', 'Includes': 'Adapter Bracket; Bolts; Installation Instructions', 'UNSPSC': '31162502', 'Country of Origin': 'USA'}"
https://www.grainger.com/product/MAXXIMA-Rectangular-Lamp-Grommet-Cover-3VNX5,MAXXIMA Rectangular Lamp Grommet Cover: 6 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/3VNX5_AW99?$adapimg$&hei=536&wid=536,M49705,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'MAXXIMA', 'Type': 'Plastic', 'Finish': 'Chrome', 'Depth (In.)': '1 in', 'Length (In.)': '6 in', 'Width (In.)': '4-3/4 in', 'Provides': 'Coverage for Grommet', 'Function': 'Decorative Coverage', 'UNSPSC': '25174401', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/GROTE-Mounting-Bracket-2CVP1,"GROTE Mounting Bracket, 4"" Lamps: 6 in Lg (In.)",https://static.grainger.com/rp/s/is/image/Grainger/2CVP1_AS01?$adapimg$&hei=536&wid=536,43572,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Steel', 'Finish': 'Black', 'Depth (In.)': '1-13/16 in', 'Length (In.)': '6 in', 'Width (In.)': '6 in', 'UNSPSC': '25172601', 'Country of Origin': 'USA'}"
https://www.grainger.com/product/GROTE-Bracket-2VNJ4,"GROTE Bracket, Polycarbonate: 5 7/8 in Lg (In.)",https://static.grainger.com/rp/s/is/image/Grainger/2VNJ4_AS01?$adapimg$&hei=536&wid=536,43760,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'GROTE', 'Type': 'Clearance Marker', 'Finish': 'Gray', 'Length (In.)': '5-7/8 in', 'Width (In.)': '2-3/16 in', 'UNSPSC': '25172901', 'Country of Origin': 'Taiwan'}"
https://www.grainger.com/product/PS-DOORS-Mounting-Bracket-5-11-16-in-39L652,PS DOORS Mounting Bracket: 5 11/16 in Lg (In.),https://static.grainger.com/rp/s/is/image/Grainger/39L652_AS01?$adapimg$&hei=536&wid=536,LSG-FB-2205 GAL,Product Categories / Hardware / Braces and Brackets / Brackets,"{'Brand': 'PS DOORS', 'Finish': 'Hot-Dipped Galvanzied', 'Depth (In.)': '1/2 in', 'Length (In.)': '5-11/16 in', 'Width (In.)': '4-1/2 in', 'Connects': 'Gate to Flatbar 4 in W', 'Provides': 'Optional No-Drill Mounting of Gates to Mounting Surface', 'Function': 'Mounting', 'Includes': 'Adapter Bracket; Bolts; Installation Instructions', 'UNSPSC': '31162502', 'Country of Origin': 'USA'}"
